2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18266,"state":"CANDIDATE","term":97,"voteFor":"192.168.0.103:8848"}, term: 97

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15952,"state":"CANDIDATE","term":98,"voteFor":"192.168.0.103:8848"}, term: 98

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16156,"state":"CANDIDATE","term":99,"voteFor":"192.168.0.103:8848"}, term: 99

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17911,"state":"CANDIDATE","term":100,"voteFor":"192.168.0.103:8848"}, term: 100

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19000,"state":"CANDIDATE","term":101,"voteFor":"192.168.0.103:8848"}, term: 101

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17504,"state":"CANDIDATE","term":102,"voteFor":"192.168.0.103:8848"}, term: 102

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19642,"state":"CANDIDATE","term":103,"voteFor":"192.168.0.103:8848"}, term: 103

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16434,"state":"CANDIDATE","term":104,"voteFor":"192.168.0.103:8848"}, term: 104

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18060,"state":"CANDIDATE","term":105,"voteFor":"192.168.0.103:8848"}, term: 105

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16721,"state":"CANDIDATE","term":106,"voteFor":"192.168.0.103:8848"}, term: 106

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15485,"state":"CANDIDATE","term":107,"voteFor":"192.168.0.103:8848"}, term: 107

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19206,"state":"CANDIDATE","term":108,"voteFor":"192.168.0.103:8848"}, term: 108

